job_title,company_name,summary
Data Analyst - Reporting & Analytics - Recruitment Services,Apple,"The Recruitment Services Data Analyst for Reporting & Analytics is responsible for the execution and rollout of key performance metrics (KPIs), standardized reporting, dashboards and ad hoc reports that support HR/Recruiting leadership by providing timely information and answers to key business questions needed to drive the business forward. The role of the Data Analyst is to turn data into information, and information into insight. It is also integral to informing our stakeholders with meaningful metrics, and visualizations. This role also informs enhancements to various recruiting data management systems and tools to drive continual improvement of the data integrity.

This role is responsible to scale the recruitment reporting strategy across the globe, taking into consideration the nuances of the different regions and teams. This includes translating requirements from various stakeholders, interpreting data, analyzing results using statistical techniques, as well as providing feedback to measure impact and effectiveness of the messaging. Specifically, this includes creating, managing and maintaining a prioritization process, support queue, various project plans, schedules, deliverables and status reports. This role is integral to helping shape, implement and drive quality reports, dashboards, metrics and enhanced data integrity that ultimately tells the recruitment story.

The person we seek will join a team of technology, operations and recruiting professionals who work with the worldwide recruiting organization to deliver recruitment reporting solutions. This role will also work collaboratively with the HR Analytics team. This person must be resourceful, adaptable, creative, and results oriented with high energy and a positive attitude.

Key Qualifications
Proven ability to proactively establish rapport, credibility and influence, and drive results throughout an organization at all levels.
Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Strong knowledge of and experience with reporting packages (Business Objects, Tableau, etc.), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Adept at queries, report writing and presenting findings.
Knowledge of recruiting processes and workflows and be able to support, understand, and enhance the data integrity of our systems.
Must have superlative written and verbal skills as well as strong presentation skills.
Must be able to balance working in a creatively driven organization, with an analytical and disciplined approach to technology and ability to present solutions in a simple, understandable language to client groups.
Uses proven concepts and company objectives to resolve complex issues in creative and effective ways.
Organized, able to provide clear direction for others to understand easily.

Description
Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Identify, analyze, and interpret trends or patterns in complex data sets.
Filter and clean data, and review computer reports, printouts, and performance indicators to locate and correct code problems.
Work closely with management to prioritize business and information needs.
Locate and define new process improvement opportunities.
Manage and deliver projects and change initiatives, including educating the teams on metrics, reports, system usage and support.
Have a point of view and the ability to influence others to meet the needs of the business operational insights to the Recruiting Leadership Team through analytics and reporting that allow them to make decisions on where and how to use our resources.
Connect and provide context and content that becomes the means to train and continuously improve the efficiency and effectivity of Recruiting to deliver.
Create Project Plans and a Master Schedule that predicts delivery dates based on an objective analysis.
Work on complex issues where analysis of situations or data requires and in-depth evaluation of variable factors.
Exercise judgment in influencing methods, techniques and evaluation criteria for obtaining results.
Respond to inquiries quickly and support accurate communications about solutions.

Education
Bachelor's degree or equivalent is preferred. Focus in Mathematics, Economics, Computer Science, or Information Management a plus.
3 + years of data analysis and reporting experience. Recruitment services, operations or related project management experience a plus.

Additional Requirements
Consult & Evolve
Able to leverage subject matter expertise to create flexible solutions to real business needs.
Build a strong understanding of the recruitment organization and processes you support, build relationships and earn credibility.
Manage and deliver business KPIs, reporting and analytics are relevant and tell the story to our stakeholders.
Possess strong process orientation with an innate curiosity to drive continual improvement and data integrity.
Proactively research, develop and adopt competitive and innovative recruitment reporting and analytic practices.

Collaborate & Influence
Exercise diplomacy and perseverance.
Able to gather the right resources to create business solutions.
Create productive and collaborative partnerships with all key stakeholders.
Gather, analyze and synthesize information to make holistic recommendations.
Over-communicate plans, progress and wins, yet able to flex and reset based on feedback.

Drive & Deliver
Self-starter, who takes initiative, owns decisions, and is calm in the face of pressure.
Willing to get into the details to solve problems & create solutions.
Able to demonstrate flexibility, research & investigate multiple options for consideration.
Able to juggle competing priorities and drive timely execution of projects.
Tenacious in designing elegant solutions that will scale and improve insight, efficiency, productivity, and consistency."
"Internal Data Tools, Business Intelligence Analyst",Apple,"Apple is seeking a proven Business Intelligence Analyst to join the Internal Data Tools team. Youll partner with other business analysts and internal stakeholders to understand reporting requirements, work closely with data engineers to design supporting data models, and deliver dashboards using our internal data reporting platform. You will need to understand how to curate and communicate complex data in a clear dashboard view, often partnering with UI engineers to build new compelling visualizations. As part of a centralized team that supports marketing, operations, product management, engineering, business - amongst other teams - youll act as a thought partner and domain expert on data and help in driving decision making at Apple. This is a full-time position in Apple Media Products and is located in our Cupertino, CA office.

Key Qualifications
2-5 years of industry experience in a Business Intelligence role
Well-versed in SQL languages. Experience with big data frameworks preferred
Well-versed with data visualization and building dashboards, e.g. Tableau or similar
Knowledge of data modeling and database schema design
Excellent communication skills, both written and oral
Excellent project management skills
Description
Wireframe, prototype and build dashboards to support informed decision making on key business initiatives
Partner with reporting analysts and data engineers to design and build supporting data models
Contribute towards centralized documentation
Organize QA and UAT
Define success metrics for projects and review post-launch

Education
Minimum of a Bachelors degree in Economics, Computer Science, Statistics, Mathematics, Engineering or relevant field. Ideally, Masters in related field."
Business Intelligence Analyst/Developer,LiveOps,"Overview As a Business Intelligence Analyst/Developer, you will play a key role in developing and maintaining BI solutions within the organization. You will develop reports, dashboards, scorecards, and other data products using DOMO, Excel and other tools. You will work with cross functional teams to ensure training, performance and reliability of data. The ideal candidate will have experience with the DOMO BI platform or similar platforms (Tableau, Looker, Birst, etc.), with the ability to translate complex business requirements into actionable reporting tools for internal and client use. You will be responsible for gathering and interpreting data on call center trends. You will analyze agent population metrics such as attrition, performance, and behaviors, as well as call center performance including call handling and client performance. You must be a self-starter who loves digging into data and discovering insights hidden within that data.

Responsibilities
Play a critical role in the design, development, support, and continuous improvement of the BI environment supporting internal and external stakeholders
Analyze complex data from multiple sources, determining configuration and connection methods for ingestion by BI tool
Develop BI solutions according to user requirements, best practices, and industry standards.
Participate/lead in a full BI development lifecycle including planning, architecture design, development, testing, migration, and production support
Develop and enhance ETL processes for performance and scalability handling data from multiple sources
Identifies, researches, and resolves technical problems with dashboards, reports, and source data
Analyze call center trends and provide recommendations for improvements
Run A/B tests to optimize client and agent performance
Discover correlations between agent behaviors and performance metrics
Work collaboratively to interface with and understand analytical reporting needs of business stakeholders
Effectively communicate (written and verbal) technical subject matter to non-technical business stakeholders, be a source of training and insight on the DOMO platform to facilitate knowledge transfer and value recognition of BI
Implement data hygiene controls and ensure data integrity and accuracy
Work with disparate data sources and systems to facilitate a mature BI environment

Qualifications
Bachelors Degree in a quantitative or technical field
Demonstrated proficiency in general database administration concepts
Displays an eagerness to continually improve their skills and learn new technologies
Excellence with at least one BI tool (DOMO, Tableau, Looker, etc.). Experience or proficiency in DOMO preferred
Strong understanding of SQL; able to write complex queries
Comfortable with - and able to consume and construct - APIs
Experience with data design and development including data modeling, mapping data elements from various data sources and loading objects including dimensions, hierarchies, tables, and aggregates
Experience in full-stack development of front-end and back-end technology; skill and experience constructing the underlying data layer supporting a BI launch, with skill and experience on the front-end developing report, dashboards, and visualizations
Advanced data analysis skills (proficient in Excel, data manipulation and data set creation)
Ability to work autonomously but also in collaboration with cross functional teams
Excellent analytical and problem-solving skills
Thrive in a fast-paced environment with tight deadlines
Excellent written and oral communication skills
Workers in this position will be in a general office environment and required to sit, stand, walk, bend, stoop and lift to 50 pounds while operating office equipment and conducting daily duties.

About Liveops:

Liveops offers an on-demand skilled workforce of onshore virtual agents for customer service and sales. With no call center overhead or wasted idle time, our pay-per-use model scales to meet seasonal or time of day spikes in demand. More than 400 organizations across service industries including retail, healthcare, insurance and telecom trust Liveops to deliver an enterprise-grade workforce, with faster program readiness, increased revenue, and greater customer satisfaction scores than traditional call centers.

LiveOps offers a culture of teamwork, passion and fun! We offer outstanding benefits including insurance, 401k match, and a generous PTO plan.

For more about Liveops, visit http://www.liveops.com/"
"BI Engineer, People Analytics",Facebook,"(Menlo Park, CA) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities  we're just getting started. We are seeking an experienced Business Intelligence Engineer to join our People Analytics team and participate in the design and development of creative and innovative analytics and data visualizations that will help us find, grow, and keep the talented people that make Facebook awesome and an amazing place to work. Ideal candidates will have deep technical skills to complement their analytical experience and will be comfortable working with data of all shapes and sizes. They will be scrappy, independent, and excited about creating impact alongside a growing team. Responsibilities
Develop data products and analytics to empower operational and exploratory analyses
Develop deep understanding of people data model  write queries and manage data transformation to enable analytics and reporting
Partner with Data Engineering to develop core data sets that empower operational and exploratory analyses
Help analyze, visualize, and provide analytics on data to build reporting solutions to support various company initiatives
Build rich and dynamic dashboards using out-of-box features, customizations, and visualizations using d3, Angular.js or equivalent
Minimum Qualifications
Proven track record of using data analyses to impact business or product decisions
Ability to effectively communicate the results of analyses
At least 3 years of business intelligence and data warehouse experience
Demonstrated experience creating dashboards in d3.js, Angular.js or a similar visualization tool
Demonstrated experience in utilizing R, Python, SPSS or comparable to develop analyses
Bachelor's in Computer Science, Statistics, Math, Engineering, Business, or other quantitative field
Minimum of 2 years experience wrangling production datasets in relational databases (SQL/PLSQL/Hive)
Preferred Qualifications
Experience in HR, Recruiting, or Operational Analytics"
Data Analyst,Microsoft,"Many businesses are data driven, but perhaps none so much as Microsoft. A great deal of effort is spent on using masses of data to understand user behavior to inform and improve upon Microsofts products and marketing efforts.

We are the Consumer Data and Analytics team focused on providing analysis and data science capabilities impacting Microsofts consumer product and marketing efforts. We are looking for an experienced Data Analyst who is passionate to work with and analyze big data to drive insights across Bing, Cortana, and Edge. With petabytes of data being collected, we enable data driven decisions by converting data into insights that drive enhanced customer experiences and improve business performance.

Job Description:
The ideal candidate should be self-directed, passionate about data, and focused on delivering the right results. The candidate should be able to apply programming acumen and a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in a concise and effective manner. Technical aptitude and programming skills are necessary in this role. The candidate should also be an effective communicator capable of independently driving issues to resolution and communicating insights to both technical and non-technical audiences.

Core Responsibilities:
Build a holistic understanding of our product features, its customer, the BI data infrastructure & environment, and business goals
Develop powerful visualization on customer behavior and usage and become SMEs for the product(s)
Analyze and validate data using statistical tools to answer product and business questions, to drive product and marketing actions
Build and maintain learning plans for the product(s) with key analytical questions
Leverage industry best practices in establishing repeatable BI practices, principles & processes
Leverage team members across BI, for data & analysis needs
Refine, improve and centralize team capabilities and share to the broader business and analytical community
Manage external vendor relationships onshore & offshore, as needed Key Skills, Competencies.
Qualifications:
Unique mix of technical, development, project and program management skills
Ability to understand, translate and map business and product questions into analysis projects
Expertise in database technology with solid understanding and hands-on skills with SQL Server, SSIS, solid understanding of SSAS / n-dimensional cubes
Solid experience building business intelligence solutions (data warehouse, ETL, Reports, Powerpivots) and ability to understand instrumentation and devise technical solutions
Proficiency in advanced Excel functions (e.g., creating formulas, pivot tables) and PowerBI
Knowledge of SAS, SPSS, Tableau, Adobe Insights or similar analytic software
Ability to influence diverse audiences and build strong partnerships with stakeholders
Strong ability to articulate vision, requirements & benefits, providing a solid rationale to business and technical partners
Self-motivated, agile and driven to think out-of-the-box
3+ years of data analysis experience required; College degree required, MSc/MA/MBA preferred
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to askstaff@microsoft.com.

WDGReqFY18"
Business Intelligence Analyst,Apple,"Apples Strategic Data Solutions (SDS) team leads efforts to mitigate fraud, waste and abuse across Apples various lines of business. The team has an immediate opening for an outstanding business intelligence analyst who is interested in working closely with partner teams; understanding their processes and analytic needs; and developing technical solutions that can drive significant impact that benefits Apple.

The candidate must work well in collaborative environments with minimal formal structure and be comfortable in uncertain environments with competing priorities. The candidate must possess solid business acumen, a strong quantitative / technical background, natural curiosity, and the ability to effectively shift between communications styles based on the audience (technical peer review through leadership update).

Key Qualifications
Experience applying analytical techniques to provide solutions to real business problems
Experience with SQL and big data systems and tools
Programming skills in Python, Java, C++, or similar language
Creativity to go beyond current tools to deliver best solution to the problem
Inquisitiveness and a desire for continued self-improvement and development of new skills
Comfort working independently and making key decisions on projects
Ability to tell meaningful stories with data
Strong interpersonal skills with ability to connect with individuals at all levels and develop strong partnerships
Strong verbal / written communication skills
(Desired) Supply chain / manufacturing background

Description
Support discovery of business problems
Perform data discovery and create proof of concepts
Perform ad-hoc and reoccurring statistical analyses
Work with data warehouse architects and software developers to generate seamless business intelligence solutions for business partners
Present results of analyses to business units

Education
BS / MS in technical field (math, statistics, engineering, computer science, analytics, or similar)"
Business Intelligence/Data Analyst - Customer Support,Palo Alto Networks,"Palo Alto Networks is the fastest-growing security company in history. We offer the chance to be part of an important mission: ending breaches and protecting our way of digital life. If you are a motivated, intelligent, creative, and hardworking individual, then this job is for you!

Palo Alto Networks is now looking for a data professional for the role of Business Intelligence Analyst. You will use your business acumen and technical knowledge to develop and deliver Business Intelligence and Analytics solutions for your internal customers, and you will work with the Business to understand their changing requirements and measure impacts of those changes.
We are a very data-driven company. That creates a challenging but at the same time a unique position to get into high-level projects that truly help the business to drive its actions based on data insight and data-driven recommendations.
As a part of the Support Operations team, you'll be using data to help the Business in making informed business process decisions. Youll build data visualizations to automate reporting so support management can quickly and accurately see how support KPIs are performing. Youll be involved from project inception to report design through to data delivery, ensuring that your reports are delivering high-quality and relevant data so that our business can grow intelligently.
You will also be introducing data science capabilities into the Customer Support function and come up with new innovative predictive and actionable use cases to create business value with the help of the data. You will have the opportunity to collaborate with our internal data science community to share knowledge and best practices from different business functions.
If you liked what you saw, please apply - wed be happy to meet you!

Responsibilities:
Partner with business stakeholders to understand and document business requirements for developing appropriate business analysis and reporting applications
Analyze web traffic and site behavior using Omniture as well as clickstream data for customer and business insights to support business decisions and deliver on improved customer experience
Coordinate tagging for new site content and functionality, tracking parameter implementations. Be able to identify gaps in the current data capture strategy and collaboratively implement enhancements
Develop rich, interactive, visually striking graphics and data visualizations of large amounts of data
Utilize clickstream data to provide insights beyond canned reports to business teams
Create groundbreaking predictive models to give actionable recommendations to your internal clients on how to best drive their business with the help of the data.
Provide support to the development of training materials and training activities related to the BI tools and applications
Provide insight into leading analytic practices and foster best practices that are consistent with BI design standards. Proactive in analyzing customer behavior using available data to influence changes on the website.
Work closely with IT teams to help develop business applications and tools

Qualifications:
Bachelor's degree (statistics, computer science, predictive analytics, or math preferred)
5+ years experience in Analytics, within the relevant domains of customer service, product, social networks, etc
Experience with data visualization and business intelligence tools or packages (Tableau, Qlikview, Looker, etc)
5+ years experience with visualization design including dashboards, executive and operational, or front end visualizations
4+ years experience in SQL databases or expert-level SQL coding/querying skills
3+ years experience with Adobe Analytics (Omniture), Google Analytics, or a similar web analytics application
Python or other scripting language experience
Excellent analytical and problem solving skills, combined with strong business judgment and an ability to present analysis in a clear and compelling manner
Knowledge on some Analytics Platforms/Tools like KNIME, Dataiku, Rapidminer, R, SAS, Alteryx, Mahout, etc.
Experience with Data Science methods like the random forest, gradient boosting, regression, clustering, etc.
Data manipulation and transformation skills.
Big data technologies (Hadoop, Spark, Hive, Drill, Pig, etc.)
Experience with CRM systems, eg. Salesforce.
Cloud technologies (AWS, Azure, etc.) a plus.
Marketing Cloud solutions (Adobe, Marketo, etc.) a plus

Learn more about Palo Alto Networks here and check out our fast facts"
Data Analytics Developer,Under Armour,"Under Armour is the chosen brand of this generation of athletes... and the athletes of tomorrow. We're about performance - in training and on game day, in blistering heat and bitter cold. Whatever the conditions, whatever the sport, Under Armour delivers the advantage athletes have come to demand.
That demand has created an environment of growth. An environment where building a great team is vital. An environment where doing whatever it takes is the baseline and going above and beyond to protect the Brand is commonplace.
The world's hungriest athletes live by a code, a pledge to themselves and everyone else: Protect This House... I Will. Our goal is to Build A Great Team! Will YOUProtect This House?!

SUMMARY:

Our IT team is searching for a talented Business Intelligence Reporting Analyst to help our cause and represent ITs mantra of, Business First, Technology Second. You will join a results oriented team and participate in the design, implementation, and maintenance of analytical and reporting applications that enable the business to make better more informed decisions. This role will include performing analysis of applications and systems in collaboration with business analysts and end users to define and implement solutions.

ESSENTIAL DUTIES AND RESPONSIBILITIES: Include but are not limited to:
Knowledge of our global SAP BI reporting architecture, focused primarily on leveraging the suite of SAP Business Objects tools (BO Universe development, WebI, BO Explorer, BO Visual Analytics, Xcelsius, etc.)
Collaborate with key business stakeholders on strategic initiatives to leverage the BI environment to facilitate business growth.
Work with business stakeholders to gather requirements, define project scope, develop timelines, design reports, etc.
Support implemented BI solutions by addressing user questions and inquiries, monitoring performance, and communicating functional and technical issues.
Develop documentation for data flows, processes, training, and testing
Drive adoption of BI capabilities across functional partners
Deliver end user training on the reporting tools and underlying data sets
Add value to business each day by providing the right information to the right people at the right time
QUALIFICATIONS:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
3-5 years experience in developing business and functional specification documents
1+ years designing and developing dashboards and visual analytics
Knowledge of business concepts in Retail, Supply Chain, Sales, Finance, Merchandising
Working knowledge of the ETL phase of data warehousing, preferably using SAP BO Data Services and/or SAP BW
Strong team player with good communication skills with the ability to work in a fast-paced, high-growth environment.
Superior Excel skills including pivot tables, formulas, macro development a plus.
Proven ability to express complex technical concepts in business terms
Desire to learn or expand knowledge of SAP on a technical and business analysis level.
Ability to understand business processes and create technical solutions to meet those needs.
EDUCATION AND/OR EXPERIENCE:
Bachelors degree in Business or Information Technology- related field.
SAP and/or SAP BW experience is a huge bonus.
At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool."
IS&T Data Analytics and Business Intelligence Analyst,Apple,"The Information Systems & Technology (IS&T) team manages key business and technical infrastructure at Apple -- how we take an order online, the experience with technology in our retail stores, how much network capacity we need around the world, the processing of every credit card an iTunes customer uses, and closing the books. IS&T does it all.

Key Qualifications

Required Experience and Skills:
Desire and ability to thrive in a fast-paced, highly demanding, dynamic business and information technology environment
Ability to maintain composure and focus in stressful situations
Customer service orientation
High standard for attention to detail and 100% accuracy
Excellent verbal and written skills
Superb time management and multi-tasking skills
Ability to meet and exceed goals and objectives with minimal direct supervision and only high-level direction
Excellent risk management and information security knowledge, skills, and abilities
Basic Linux and Mac OS system administration
Unix shells (bash and ksh)
SQL
Advanced skills with Excel
Advanced skills with Tableau
Advanced skills with R
Knowledge and experience working with a variety of data structures and formats
In-depth knowledge and skills to use and apply descriptive and inferential statistics including probability, hypothesis testing, estimation, associations, correlation, regression analysis, and forecasting
Analytic and business intelligence skills to identify meaningful patterns, analyze them, and then integrate and communicate them via data visualization and reporting techniques
Knowledge and experience with data modeling using R or other similar software
Strong data visualization, reporting, and communications skills and abilities
Knowledge and experience with map reduce using Hadoop
Familiarity with enterprise information technology
Effective communication; up, down and laterally

Preferred Experience and Skills:
Knowledge and experience producing reports with Business Objects
Knowledge and experience with Splunk
Knowledge and experience with Oracle
Knowledge and experience with Teradata
Knowledge and experience with R
Knowledge and experience with map reduce using Hadoop or similar software
Knowledge and experience of data center operations
Description
The IS&T HelpLine and Network Operations Center (NOC) provide technical support services to Apples employees, contractors, and vendors throughout the world, 24 hours a day, 365 days a year. We support Apples products and services from hardware to software. We also support Apples world-class information technology infrastructure from our data centers through our data and voice networks to each users Mac or IOS deviceand everything in between.

We are currently looking for a highly motivated, technically savvy, business intelligence analyst who has excellent analytic and data visualization skills to join our HelpLine team. This is an extremely fast-paced and highly demanding environment. If you have what it takes, we would like to talk to you.

Work hours:
Variable but typically Monday-Friday, 8 AM to 5:00 PM
Holiday and on-call work required at times

Responsibilities:
Business intelligence
Data management, analysis, visualization, and communication
Business process management
Technical documentation
Project coordination and management

Expanded Roles and Responsibilities:
The Data Analytics and Business Intelligence Analyst (Analyst) operates independently and is responsible for coordinating the storage, retrieval, presentation, and analysis of data for the IS&T HelpLine and Network Operations Center. The Analyst will present data to peers, managers, directors, and VPs; and highlight data patterns that could be useful for making business decisions.

Effectively plans and leads projects and tasks to determine data needs, data sources, and data users
Coordinates with other data producing and data consumer groups
Coordinates data access with other data stewards and data users
Develops data requirements document and collaborates with developers and data miners to obtain the required data

Validates data quality by:
Filtering data
Analyzing and removing errors
Analyzing and removing inconsistencies
Ensures that the data is accurate and meets the stipulated requirements

Analyzes data using various methods including:
Data visualization
Basic descriptive statistical measures
Statistical dependency (association) and correlation
Trend analysis
Predictive analytics
Modeling
Develops data visualizations and reports on the data, trends, probabilities, forecasts, and other business intelligence based on data
Skillfully communicates the data, reports, and findings using a number of media including:
Oral presentations
Written reports, charts, and graphs
Web-based, interactive reports and data visualizations
Takes the initiative to develop and automate regular and ad-hoc reports
Researches, and if applicable, implements new technologies and methods in the areas of:
Data analysis
Data visualization and presentation
Data glossaries and libraries
Education
Bachelor's degree in a related field preferred."
BI Reporting Engineer,JP Morgan Chase,"JPMorgan Chase & Co . (NYSE: JPM) is a leading global financial services firm with assets of $2.6 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com .

The Corporate Technology (CT) organization develops applications and provides technology support for corporate functions across JPMorgan Chase, including Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and all functions within the Corporate Administrative Office (CAO).

CT teams are aligned with corporate partners evolving technology needs and the firms ever expanding technology controls agenda.

A top CT priority is building scalable corporate systems. Teams focus on:

Responding to the evolving regulatory environment and helping to meet the firms regulatory commitments by addressing internal and external commitments

Advancing the firms Roadmap programs -- Single Sourcing of data, Architecture Convergence, and Rationalization of Platforms

Adopting industry leading technologies to support best-in-class business capabilities for high performance computing and data storage solutions

Driving innovation across the firms corporate technology portfolio, increasing efficiencies through process automation, and Agile application development, with an emphasis on user experience and shorter development cycles

Investing in security & controls for cyber, access/entitlements uplift, data protection and application resiliency

In this space, CCB Finance IT is a fast growing organization with specific charter to meet technology needs of CCB Finance organization across MIS, Forecasting and reporting needs. We are in the midst of reviewing current applications and then create a Target State CCB Finance and Risk roadmap. As part of this, CCB Finance IT is seeking a BI Reporting Engineer.

The Reporting Engineer will be responsible for the delivery of solution-oriented applications for RFT CCB Finance utilizing Business Intelligence (BI) Reporting/Visualization technologies. This individual will be a part of the dynamic team of highly talented individuals and will be encouraged to contribute ideas, learn, design and implement.

Key Responsibilities include but are not limited to:
Developing business focused technical solutions leveraging Business Intelligence (BI) Reporting/Visualization using one of the technologies like Tableau, QlikView, Cognos and Hyperion Essbase

Developing and implementing applications for business based on identified requirements

Designing the user experience from an end user finance and reporting perspective

Defining test conditions and test scripts to ensure system stability and validity

Providing installation; configuration; and troubleshooting services

Providing development; testing; and implementation services

Supporting user training; documentation; and rollout

Defining test conditions and test scripts to ensure system stability and validity

Partnering with team to create and improve methodologies

Skills:
The candidate must possess strong communication skills and be able to track and complete multiple requests with conflicting priorities in a dynamic environment.

Ability to work independently and efficiently.

Work with end users to develop and evolve the application process while maintaining a stable, productive environment

Strong analytical and problems solving skills

Aptitude for continuous improvement and help with business process re-design, documentation, creating training materials for users, building test cases for all the enhancement requests that come in from business

Minimum of 5 years hands-on experience with any type of BI reporting (Cognos/Qlikview/Tableau) and related components

Minimum of 5 years hands-on experience with Essbase including Hyperion (Essbase) architecture and the various application tier and database tier components. Specifically, experience in Hyperion Essbase (ASO, BSO, Calculation Scripts, Rules)

Minimum of 5 years of experience in relational databases (e.g. Oracle, SQL Server) and multi-dimensional databases (e.g. Cognos PowerPlay cubes). Prefer advanced SQL skills

Specifically, creating/maintaining SQL scripts for sourcing data, including source/target table mappings, views, stored procedures

Prior implementation with BI Tools implementation (Cognos, Qlikview, Tableau)

Prior implementation with multiple Hyperion Essbase projects

Proven background with direct contact with users to resolve issues with financial business applications.

Exposure to Big Data concepts and implementations

Proficiency/Exposure in Python, PERL, Shell Scripting and macros

Intermediate knowledge of Windows batch and/or UNIX shell scripting.

Intermediate knowledge in at least one system design/development methodology (RUP, SDLC, BIM, etc.)

Experience in working on multiple projects at a time

Software architecture and development in a time critical environment

Thorough understanding of Software Development Life Cycle (SLDC) including the design, development, implementation, and maintenance of Hyperion financial applications

Excellent problem solving, troubleshooting, oral and written communication skills.

Bachelors Degree in CS, MIS, Engineering or equivalent

5+ years IT work experience (financial industry preferred)

Experience in banking or financial services industry would be preferable.

Ability to work independently and in a team environment"
