job_title,company_name,summary
Remote Data Analyst Position,Pelican Technology Partners,"Remote Data Analyst Position
We are currently seeking a Data Analyst that will perform data analysis tasks across multiple projects. This position will be involved with hands-on data analysis. The Data Analyst will work closely with the Data Governance and Data Management leadership as well as Data Project Coordinators. They will serve a cross-functional role in the organization, working closely with business and technology application leads to ensure good data quality and to ensure data is successfully integrated to various applications. Must have a proven ability to work with limited supervision while supporting the team to ensure the clients will receive successful results.

Responsibilities:
Provide a single point of contact for data management activities relating to migration and transition projects.
Work with Data Governance and Data Management leads to ensure that data quality metric standards are met and adhered to for all migration and transition projects.
Recognize opportunities to improve the migration and transition project process and communicate their ideas to the leads of Data Governance and Data Management.
Provide input to existing and new data standards.
Work closely with on-account teams to gather all data needs, including mastered data, while adhering to data standards.

Qualifications:
Strong data analytical and profiling skills and ability to identify potential issues proactively and formulate solutions
Knowledge of Data Governance, Data Integration and Data Management projects.
Ability to define data requirements
Good experience with SQL especially with SQL Server; good understanding of databases, tables and application integration functionality
Capable of running data base scripts and validating results
Experience in managing data related tasks
Excellent ability to research data issues and provide resolution
High level of attention to detail and accuracy and ability to make effective decisions and solve problems
Ability to collaborate across many levels within a team, organization and with clients
Excellent verbal and written communication skills. The ability to lead productive discussions via conference calls.
Comfortable working remote and being conscience of carefully communicating via email, instant messaging, and WebEx meetings.
Past experience with Real Estate data is highly desired.
Software Tools: Informatica, SQL Server, Excel, Word, Power Point, Visio, SharePoint

Compensation:

Along with an attractive base Compensation, Comprehensive Benefits include Medical, Dental, and Life Insurance

Location: Remote
Type: Contract"
"Data Analyst, Product and Tools Operations, Google Technical Services",Google,"The Google Technical Services Product and Tools Operations team maintains the close relationships with the Engineering and Product partners necessary to develop and improve Googles products and internal tools. We are champions of the customer experience, advocating for feature requests and offering product improvements backed by data-driven insights. Our work enables Google Technical Services teams to deliver delightful support to Googles millions of customers.

The Business Intelligence (BI) is part of Google Technical Services Product and Tool Operations. We provide services including data insights and visualization, data infrastructure, and decision support tools to the Google Technical Services Ads Ecosystem - the team that delivers technical support to all Googles Ads product customers.

As a Business Analyst, you will work closely with the Google Technical Services operations teams, including senior managers, to understand their data and analytics needs, then build custom solutions or write solutions requirements for engineering teams.

You will demonstrate experience and technical aptitude at all stages of data analysis: developing stakeholder use cases, querying databases, performing statistical analysis, designing visualizations, and presenting insights. You will be comfortable using your own business judgment to reconcile the competing needs of different senior stakeholders, and be able to balance several projects at once.

Google Technical Services is a global support and operations team, with a mission to delight our customers with care so good, its got to be Google. Our team is the face of Google to most of our customers, and we want their Google support experience to set new standards, just like Googles products do. Our team cares for customers by solving problems and scaling solutions, incubating new Google products, and sharing user feedback with internal teams to influence product development. We support a wide variety of products, from Ads to Project Fi and just about everything in between, and our customers include advertisers, consumers, partners, publishers, retailers, and our own Sales Googlers.

Responsibilities
Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.

Qualifications Minimum qualifications:
Bachelors degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.

Preferred qualifications:
Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts."
Data Analyst,Wish,"The Platform team powers the economic engine that drives the Wish marketplace. Our products includes the merchant portal (allows merchants to sign up, list products and fulfill orders), the policy engine (sets the rules of the marketplace and defines rewards/penalties), and the product catalogue (lists over 70MM products).

Were looking for a junior technical data analyst to help us understand and grow the Wish ecosystem. The right candidate is comfortable with coding in Python / Jupyter and fluent in SQL to build re-producible analysis.

What You'll Do:
Evaluate a new policy to require merchants to ship with last mile tracking on orders &


gt;= $X in price, for a set of countries Tweak the refund policy which bans merchants if they hit above a certain refund rate Perform deep dives into the main drivers of refunds Build dashboards in Looker to monitor KPIs per locale Who You Are:
MS/BS degree in Statistics, CS, Econometrics, Operations Research
Fluent SQL/Python (Experience with analysis w/ Pandas, Jupyter)
Knowledge of statistics is preferred -- regression modeling, hypothesis testing
Wish , is transforming the way the world shops by offering a convenient and personalized mobile shopping experience. Our mission is to offer an unlimited selection of affordable quality goods to be accessible for everyone on a global scale. We selectively bring together world-class technical talent that are passionate about connecting relevant products to value conscious consumers all over the world!

Wish was launched in November 2011 and already has over 300 million registered users, making it one of the top 5 mobile shopping applications on iOS and Android!

Wish is an equal opportunity employer that values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital, veteran, or disability status."
Data Analyst,Microsoft,"Many businesses are data driven, but perhaps none so much as Microsoft. A great deal of effort is spent on using masses of data to understand user behavior to inform and improve upon Microsofts products and marketing efforts.

We are the Consumer Data and Analytics team focused on providing analysis and data science capabilities impacting Microsofts consumer product and marketing efforts. We are looking for an experienced Data Analyst who is passionate to work with and analyze big data to drive insights across Bing, Cortana, and Edge. With petabytes of data being collected, we enable data driven decisions by converting data into insights that drive enhanced customer experiences and improve business performance.

Job Description:
The ideal candidate should be self-directed, passionate about data, and focused on delivering the right results. The candidate should be able to apply programming acumen and a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in a concise and effective manner. Technical aptitude and programming skills are necessary in this role. The candidate should also be an effective communicator capable of independently driving issues to resolution and communicating insights to both technical and non-technical audiences.

Core Responsibilities:
Build a holistic understanding of our product features, its customer, the BI data infrastructure & environment, and business goals
Develop powerful visualization on customer behavior and usage and become SMEs for the product(s)
Analyze and validate data using statistical tools to answer product and business questions, to drive product and marketing actions
Build and maintain learning plans for the product(s) with key analytical questions
Leverage industry best practices in establishing repeatable BI practices, principles & processes
Leverage team members across BI, for data & analysis needs
Refine, improve and centralize team capabilities and share to the broader business and analytical community
Manage external vendor relationships onshore & offshore, as needed Key Skills, Competencies.
Qualifications:
Unique mix of technical, development, project and program management skills
Ability to understand, translate and map business and product questions into analysis projects
Expertise in database technology with solid understanding and hands-on skills with SQL Server, SSIS, solid understanding of SSAS / n-dimensional cubes
Solid experience building business intelligence solutions (data warehouse, ETL, Reports, Powerpivots) and ability to understand instrumentation and devise technical solutions
Proficiency in advanced Excel functions (e.g., creating formulas, pivot tables) and PowerBI
Knowledge of SAS, SPSS, Tableau, Adobe Insights or similar analytic software
Ability to influence diverse audiences and build strong partnerships with stakeholders
Strong ability to articulate vision, requirements & benefits, providing a solid rationale to business and technical partners
Self-motivated, agile and driven to think out-of-the-box
3+ years of data analysis experience required; College degree required, MSc/MA/MBA preferred
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to askstaff@microsoft.com.

WDGReqFY18"
Business Analyst: Business Intelligence,IBM,"Job Description

About IBM:
IBM India's solutions and services span all major industries including financial services, healthcare, government, automotive, telecommunications and education, among others. As a trusted partner with wide-ranging service capabilities, IBM helps clients transform and succeed in challenging circumstances. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, uniquely distinguishes IBM India from other companies in the industry.

Business Unit Introduction:
IBM Global Business Services (GBS) is a vibrant group of Business, Strategy and Technology professionals, designed specifically to be the source of market-leading Industry consulting, Application and Business process management, supported by the industry's most sophisticated outcome based delivery model, all designed to become the Digital Reinvention partner for leading clients across the world. IBM GBS provides Value-led and Asset-powered end to end solutions with global footprint in over 170 countries and empowers clients to build upon their tremendous heritage in Application Innovation processes and also to transform them for a Cloud, Cognitive and Social centric world.

Who you are:
You will analyze requirements from a business perspective; defines current and future operational scenarios (processes, models, use cases, plans and solutions) and works with client using the BI(Business Intelligence) method to ensure proper translation of business requirements to I/T solution requirements.
Translates client requirements into technical requirements and recommends a BI solution.

What youll do:
Generating and publishing reports.
Analyzing the reports and publish the outcome.
Documents and analyzes requirements from a business perspective, defines current and future operational scenarios (processes, models, use cases, plans and solutions) and works with client using the BI(Business Intelligence) method to ensure proper translation of business requirements to I/T solution requirements.
Reviewing analysis findings, preparing high level design and mapping documents, presenting solution to all stakeholders and obtaining consensus for implementing it.
Engaging with source system contacts and acquiring data needed for Business Operations Executive Deal Work Flow reporting on new inbound feeds into UK Data Warehousing.

How well help you grow:
Youll have access to all the technical and management training courses you need to become the expert you want to be
Youll learn directly from expert developers in the field; our team leads love to mentor
You have the opportunity to work in many different areas to figure out what really excites you.
Required Technical and Professional Expertise

Experience working with specific BI software programs, such as Oracle, Tableau, IBM Cognos or Microsoft Power BI. Expertise in MS Office, Excel and Access is also necessary to perform this specialty. You will work with customers to develop dashboards and reports.

Preferred Tech and Prof Experience

NA

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Data Analyst,DISNEY,"BAMTECH is a leading technology services and video streaming company owned by The Walt Disney Company, MLBAM, and the National Hockey League. Our proprietary technology provides direct-to-consumer video solutions, especially for live event with high viewership, offering viewers high-quality visuals any time and on any device. BAMTECH is seeking a Data Analyst for an immediate opening. The analyst will be primarily responsible for retrieving data for analyses related to BAMTech and its partners digital presences; websites, mobile applications, subscription products, and social media accounts.

The analyst will help provide insight into digital traffic, industry growth, and third-party presences. The candidate must have extensive experience using digital video streaming products on mobile, web, and connected device platforms, and be well-versed in industry trends and innovations. The candidate should have familiarity with internet and mobile technology. Experience manipulating large data sets is essential.

Excellent written and verbal communication skills for both technical and business audiences are required. This is a full-time position based in BAMTechs offices in New York City. Must have a strong academic record from a 4-year college or university. Extensive coursework related to statistics, economics, mathematics, or data analysis is a plus.

Minimum 1-year experience in an analyst role with experience in project planning and performance is preferred. Advanced proficiency analyzing usage data with Google Analytics, Adobe Analytics (formerly Omniture), or other similar tools. Experience managing large datasets in Microsoft Excel, SQL, R, SAS, and Tableau or other BI and/or data visualization tools is greatly preferred. Familiarity with third-party research tools (e.g.

comScore) and industry knowledge of measurement data sources Operational familiarity with digital advertising and ad networks Extensive knowledge of and experience using popular apps and social media platforms. Ability to manage multiple tasks while in a fast-paced and deadline-driven environment Strong teamwork and inter-personal skills Excellent communication and organizational skills Create and distribute traffic and usage reports to assist internal business owners, upper management, and BAMTech partners in project creation and prioritization. Oversee daily checks of key first and third-party data sources and metrics to ensure consistency and accuracy for internal business units. Perform periodic checks over BAMTechs content performance, and communicate trends to editorial and social content creators.

Assist in analytical projects aiming to spot usage and traffic trends across digital platforms and determine causation. Build presentations regarding project performance for dissemination internally. Assist various departments at BAMTech with data projects, as needed. 510307"
Data Analyst,Orange People,"Come join us! To learn and grow each day and unleash your potential while delivering solutions for the Worlds Leading Brands. As our team builds and supports new applications at a rapid pace, we are looking for exceptional Data Analyst

Must Haves:
SSIS (2008/2012) - expert
SQL Server (coding and developing) -expert
MS Office (Excel)  expert
General ETL process experience
Data validation experience
Preferred/ Nice-to-haves:
Finance and risk management experience
Banking data experience
Additional Responsibilities:
Participate in OrangePeople monthly team meetings, and participate in team building efforts.
Contribute to OrangePeople technical discussions, peer reviews, etc.
Contribute content and collaborate via the OP-Wiki/Knowledge Base.
Provide status reports to OP Account Management as requested
About us :

Orange People is an Enterprise Architecture and Project Management solutions company. Our most valuable asset is our people: dynamic, creative thinkers who are passionate about doing quality work. As a member of the Orange People team you will have access to industry-leading consulting practices, strategies & technologies, innovative training & education. An ideal Orange Person is a technology leader with a proven track record of technical achievements and strong process/methodology orientation."
Data Analyst,BlackRock,"BlackRock is a global leader in investment management, risk management and advisory services for institutional and retail clients. At September 30, 2016, BlackRocks AUM was $5.1 trillion. BlackRock helps clients around the world meet their goals and overcome challenges with a range of products that include separate accounts, mutual funds, iShares (exchange-traded funds), and other pooled investment vehicles. BlackRock also offers risk management, advisory and enterprise investment system services to a broad base of institutional investors through BlackRock Solutions. As of September 30, 2016, the firm had approximately 13,000 employees in 30 countries and a major presence in global markets, including North and South America, Europe, Asia, Australia and the Middle East and Africa. For additional information, please visit the Companys website at www.blackrock.com | Twitter: @blackrock_news | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock

Data Analyst, Portfolio Analytics Group  Alternatives

Job Purpose/Background: The team is looking for an experienced data analyst to help accelerate the analytics and technology agenda for Alternatives on Aladdin for our Investment teams and Aladdin Clients.
Team members achieve a broad understanding of finance, clients, and technology; they learn to navigate all groups at BlackRock to solve business problems. Strong performers often grow into team leaders with management opportunities to coach and develop junior talent.

Portfolio Analytics Group (PAG) within BlackRock Solutions creates and delivers Aladdins analytical capabilities to help the firm and our clients understand and manage their investments and risk. The Aladdin Platform Analytics team within PAG focuses on driving commercial opportunities by expanding the analytics platform for BlackRock and Aladdin Clients. PAG is known for problem solving, innovation and using technology to provide scalable and efficient solutions.

Key Responsibilities:
Work directly with Investment professionals and market practitioners to design and develop innovative solutions to grow our Private Equity, Real Assets, Hedge Funds business

Develop broad understanding of Alternatives investment process, analytics, markets, Aladdins capabilities

Research opportunities for new uses for existing data and analytics and apply modern techniques in scripting, optimization, machine learning and modelling to solve high impact business problems.

Contribute to the creating, testing and roll-out of financial models, analytics and reporting for new security types and products

Design, develop and support new and existing data warehouses, dashboard and analytics reports as part of providing superior client experience.

Develop expert level understanding of Aladdin platform and augment it with data analysis/visualizations to deliver investment insights to the desk
Development Value

Desired Skills:
2+ years of experience of working with large data sets to solve problems and create useful insights

Working knowledge of R, Python and visualization tools/libraries.

Strong interest in markets and a continuous desire to learn about new analytics, investments, technology etc.

Prior experience in working directly with clients, public speaking, working in large teams etc. is highly desirable.

BS in Engineering/Operations Research/Statistics/Econ or equivalent fields.

BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, disability, veteran status, and other statuses protected by law."
Data Analyst,Predictive Science,"Spun out of Dells Digital Innovation Lab in 2013, Predictive Science has benefited from $40M in total R&D investment to become one of the fastest growing tech startups in the United States. Predictive Science is helping companies such as Verizon, NFL, Neiman Marcus, Dell, VMware and many others unlock the power of their data by creating algorithms that are changing the world.

Predictive Science is looking for a Data Analyst who can work with Fortune 1000 companies and other companies around the world to help them take on challenging data problems that can provide high impact results. This position is a freelance analyst position to work with other data scientists to provide support to executives and data scientists who are a part of the Predictive Science network.

Desired Experience
Deep understanding of statistics, familiarity with machine learning algorithms
Strong SQL skills, including querying involving multiple tables and subqueries
Basic Experience with programming scripts such as Python, Java, Scala, C++ in Linux/Unix, and R. Preference that you are medium to highly knowledgeable in one of these languages
Ability to focus long periods of time on entering, cleaning, or tagging data into a system with adequate speed and accuracy and high degree of sensitivity.
Ability to analyze data, draw insights, and prepare reports in a cohesive, intuitive, and simplistic manner to the client.
Ability to use Excel and be able to write complex functions such as: pivot tables, lookup formulas (VLOOKUP, HLOOKUP), logical formulas (or, if, and, iserror), conditional formatting, and numerous other excel functions
Experience in visualizing data to stakeholders in a simple and concise manner through visualization software such as ggplot, D3,Tableau Qlinkview, Periscope, Business Objects, or other similar software.
Experience in analyzing data from business line data applications and data providers such as Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, Nielsen, Comscore, Simmons, MRI and etc.
Passion for problem solving, answering hard questions with data, and continuous learning
Demonstrates ability to be resourceful and investigative
Ability to balance multiple projects simultaneously and meet set deadlines
About the Opportunity
Perform data analysis that provides a platform for decision making on a variety of business issues
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and guide applicable next steps
Run statistical analyses to extract actionable insights that influence, support, and assist in product decisions and launches
Present proposals and results in a clear manner backed by data and coupled with actionable conclusions
Update and maintain detailed reports
Job Perks Being part of Predictive Science means more than just working on challenging projects. There are other benefits you will receive as well.
Free Conference Passes: Join data science experts from all around the world for amazing learning events. The events are free for Predictive Science network members.
Special Offers and Free Products: Predictive Science partners provide special offers and free products for network members. Get your hands on early-release products and get the opportunity to be an influencer.
Recruiting Services: Looking to take the next big step in your career? Predictive Science offers headhunting services to network members. You will receive career and resume feedback, and head hunters will help you get placed.
Leadership Opportunities: Not getting the leadership experience you want from your current job? Trying to grow your leadership abilities? Predictive Science offers industry leadership opportunities for network members. Continue to expand your skills and build your resume.
Network Opportunities: Build relationships with other data scientists, vendors, and company executives. Expand your network and opportunities as you partner with network members on projects.
Training: Predictive Science helps you get hands-on experience as a data scientist while you get paid and sets you on a high-growth-trajectory path. Your skills will be challenged all along the way, and opportunities will be provided through conferences and online training to help you learn new skills that will make you more valuable.
Time Commitment Predictive Science gives you the flexibility of working remotely and picking what hours you want to work. Already have a job but want to earn more money? Predictive Science can be flexible to accommodate your situation. Want a lot of flexibility? Sign up for a project that pays you per task or per hour. If you want more dependability and a full time commitment, we can provide contractor or full-time position.

We Want You to Succeed Predictive Science is committed to helping you grow your career and get the experience you need to become successful. Our goal is to build the largest network of data scientists and place them in the most successful positions. Your skills will be challenged all along the way, and opportunities will be provided through conferences and online training to help you learn new skills that will make you more valuable and get promoted. Additionally, to support your career growth, we have our own recruiting team that works hard for you to find a position either with Predictive Science or somewhere else. No other company cares more about your career progression than Predictive Science.

About Predictive Science Predictive Science is the fastest growing data science network focused on building the largest data science platform that can help businesses turn data into actionable results while significantly creating cost savings. Challenging data problems that were too expensive, risky, or resource limited to solve, can now be solved with the help of Predictive Science and its global network of data scientists. Predictive Science is helping companies such as Verizon, NFL, Neiman Marcus, Dell, VMware and many others unlock the power of their data by creating algorithms that are changing the world."
Junior Data Analyst,Good Eggs,"Job Purpose

The Junior Data Analyst will help manage the growing strategic planning and analysis needs of our Assortment and Finance teams. This function will have a direct impact in achieving the companys operational and financial objectives. This position will analyze and interpret data and liaise with Senior Data Analysts to build tracking and monitoring solutions to enable us to improve our operations.

Duties and responsibilities

Support data gathering and provide review and analysis of data
Liaise with various business groups and users to understand and analyze business problems in an effort to create insights, recommendations and solutions for strategic business decisions
Analyze and interpret data and statistical models for ongoing and ad hoc requests
Monitor business health, including the generation of appropriate materials (presentations/dashboards) to drive business decisions
Work with cross-functional teams to drive projects to completion
Drive operational excellence, continual improvements for both Assortment and Finance teams
Perform other duties as required
Qualifications

Bachelors degree in finance, statistics, or a similar field is preferred
Strong analytical and problem solving skills
Outstanding time management skills
Strong written and oral communication skills
Relevant Skills & Experience

Understanding of margins and profitability
Proficiency in Google and Microsoft Office suite software (i.e. spreadsheets, presentation, and word processing software)
Experience utilizing databases and analyzing reports
Ability to understand and engage with new tools
A self-starter attitude with the ability to handle multiple projects at once and effectively prioritize needs within a fluid environment
Entry-level knowledge of SQL preferred
Passion for food, sustainable agricultural practices and high quality standards"
