job_title,company_name,summary
"Data Engineer, Analytics",Facebook,"(Menlo Park, CA) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities  we're just getting started. Do you like working with big data? Do you want to use data to influence product decisions for products being used by over half a billion people every day? If yes, we want to talk to you. Our data warehouse team works very closely with Product Managers, Product Analysts and Internet Marketers to figure out ways to acquire new users, retain existing users and optimize user experience - all of this using massive amounts of data. In this role, you will see a direct link between your work, company growth, and user satisfaction. In this role, you will work with some of the brightest minds in the industry, and you'll get an opportunity to solve some of the most challenging business problems on the web and mobile Internet, at a scale that few companies can match.

This is a full time position based in our office in Menlo Park. Responsibilities
Manage data warehouse plans for a product or a group of products.
Interface with engineers, product managers and product analysts to understand data needs.
Build data expertise and own data quality for allocated areas of ownership.
Design, build and launch new data models in production.
Design, build and launch new data extraction, transformation and loading processes in production.
Support existing processes running in production.
Define and manage SLA for all data sets in allocated areas of ownership.
Work with data infrastructure to triage infra issues and drive to resolution.
Minimum Qualifications
2+ years experience in the data warehouse space.
2+ years experience in custom ETL design, implementation and maintenance.
2+ years experience working with either a MapReduce or an MPP system.
2+ years experience with object-oriented programming languages.
2+ years experience with schema design and dimensional data modeling.
2+ years experience in writing SQL statements.
Ability to analyze data to identify deliverables, gaps and inconsistencies.
Ability in managing and communicating data warehouse plans to internal clients
Preferred Qualifications
BS/BA in Technical Field, Computer Science or Mathematics.
Knowledge in Python or Java"
Data Engineer,The Kraft Group,"KAGR (Kraft Analytics Group)

The Data Engineer will drive the planning, design, and development of integration processes to build and improve the data warehouse. The Data Engineer will be responsible for performing ETL and ELT from many disparate systems into the data warehouse and will have the opportunity to complete projects from beginning to end.

Responsibilities & Accountabilities:
Data Integration
Using the enterprise ETL tool, create modify, and improve integration pipelines
Translate business requirements into data warehouse pipelines using ETL/ELT methodologies
Extract and load many disparate systems into a centralized data warehouse
Assist in gathering requirements for new pipelines
Documentation and Data Auditing
Implement data auditing strategies and processes to ensure data integrity
Document complex integration pipelines into easy-to-understand technical specifications
Perform data modeling to document existing and new tables in the data warehouse
BIDW Continuous Development
Monitor and troubleshoot data problems
Identify ways to improve existing processes
Handle multiple projects and meet deadlines
Additional projects and assignments as directed
Bachelor's Degree in Computer Science, Information Systems, or related field.
3-5 years of experience working with data using SQL or similar technology
3+ years of experience using a data integration platform, such as Snaplogic, SSIS, or Informatica
Strong understanding of data warehousing principles and methodologies
Ability to manage multiple projects in a fast-paced environment
Strong communication skills to all levels of technical expertise
Very high attention to detail
Familiarity with BI Visualization tools
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
Data Engineer,GEICO,"Do you want to be part of the transformation that's driving forward a truly data-driven company? As a Data Engineer you will work closely with Data Scientists and Machine Learning Developers to build the Big Data foundation that enables advanced AI and machine learning capabilities for strategically important initiatives.

You will be part of an innovative, highly collaborative team involved in data munging and integration, developing machine learning models, building simulation and forecasting tools, and operationalizing solutions on top of the Big Data platform. This position requires excellent technical skills, a strong desire to learn, good communication skills, attention to details, and the ability to self-manage. You will get great exposure as you work directly with a collaborative team to tackle tough business challenges.

Responsibilities:

As part of the Data Science team, you will help build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources in our data lake using Spark and Big Data technologies. You will help design and build data stores that integrate various data sources, suitable for development and deployment of important data science models.

You will also create and maintain optimal data pipelines for feeding machine learning services in production, which are providing real-time data-driven decisions for key business functions in the company.

You will identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, and usability. You will recommend technical solutions, and work with appropriate teams to implement them.

You will have an opportunity to work with cutting-edge researchers in advanced analytics and help build an extensive graph database scaled for millions of entities and relationships. You will then optimize the graph database for real-time scoring of machine learning models that will support a mission-critical application.

Required Skills:
3+ years of experience in IT with at least one year of experience in ETL/ELT methods, Java or Scala programming, and Spark and SparkSQL
Experience in data modeling (both transactional and dimensional), using tools such as ERWin
Exposure to Spark streaming and SparkML
Knowledge of NoSQL databases (such as Hbase or Cassandra), and Graph/Network analysis
Most importantly, you have the curiosity, passion, and ability to quickly learn, adapt and implement Open Source technologies
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union

* Benefit offerings for positions other than full-time may vary.

GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers."
Data Engineer,Bank of America,"Job Description:
The Global Information Security Identity and Access Management (IAM) organization defines policy and delivers capabilities to empower the bank to better control access to its data, systems, and infrastructure.

Data is a critical component of the Identity and Access Management (IAM) strategy. The organization's analytics team is building out data pipelines and database infrastructure to support reporting and analytics activities. The Data Engineer will help head efforts to collect, process, transfer and store diverse sets of data.

Key Responsibilities:
Determine the best solution(s) for integrating data from a variety of sources into a common data warehouse
Implement, maintain and monitor batch data pipelines with best practice quality controls
Own the abstract and technical design of databases (logical and physical data models)
Participate in the definition of a IAM Canonical Warehouse Model
Create business and technical metadata for the Warehouse
Define data retention and failover policies

Required Skills:
3-6+ years experience in a data engineering role
Experience with integration of data from multiple data sources and varying technologies
Ability to code, test, and document end-to-end processes
Experience with logical/abstract database design with data at scale using an ERD tool such as erwin or PowerDesigner
Command of at least one common scripting language (e.g. Python) and tools for data integration (e.g. Informatica)
In-depth knowledge of SQL, data modeling and enterprise RDBMS (e.g. SQL Server and Oracle)
Strong familiarity with UNIX and Linux
Experience adhering to robust audit standards
Ability to work in an agile environment and drive projects forward independently
Understanding of disaster data recovery procedures and testing necessary for business continuity
Bachelor's degree in computer science or another quantitative field

Desired Skills:
Knowledge of emerging data integration technologies
Ability to work with analytics team members to optimize application of different algorithms; interest in statistical analysis and machine learning
Familiarity with Identity and Access Management and/or information security-related data
Knowledge of Exadata, Hadoop, Hbase, Hive

Shift: 1st shift (United States of America)

Hours Per Week: 40"
Data Engineer,McKinsey & Company,"Qualifications
1-3 years of experience in the field of business intelligence, application development, database development and ETL and/or data analysis domains with strong Hadoop, Hive and/or Spark knowledge
Bachelors degree/Masters Degree/Diploma in IT, Computer Science, Information Systems, Math, Engineering or related discipline
1-3 years hands-on experience with programming languages like Python, Java or equivalent
Coding & application development abilities
Ability to translate business requirements to functionality, with estimates and implementation plans
Experience in the healthcare industry either pay or provider focused is a plus
Good communication skills
Excellent time management skills (manage estimated workload according to scope)

Who You'll Work With You'll work with our McKinsey Healthcare Analytics team in New York. Healthcare Analytics is a part of McKinsey Solutions and McKinsey's New Ventures.

Our Healthcare Analytics group leverages a big-data analytics platform that includes 100 terabytes of integrated claim, encounter, clinical, consumer, and other data. The team consists of 100 dedicated experts and 250 affiliated professionals with industry, advanced analytics, statistics, clinical, and software expertise, all of whom work to design, deliver, and operate advanced analytic tools to help healthcare clients around the world.

New Ventures fosters innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work. It is helping to shift our model toward asset-based consulting and is a foundation for  and expands our investment in  our entrepreneurial culture. Through innovative software as a service solution, strategic acquisitions, and a vibrant ecosystem of alliances, we are redefining what it means to work with McKinsey.

What You'll Do You will be responsible for coding and testing tools and assets to deliver analytics to our customers which will be defined by high quality.

You will collaborate with the product and delivery team on the definition and requirements of an analytics product, within an agile framework. Additionally, you'll perform the transformation, filtering, and aggregation of raw data into concise, accurate, and focused data marts.

You'll be an integral part of our team with ample opportunities for coaching and mentorship from your senior colleagues."
Data Engineer,Apple,"The Fraud, Engineering, Algorithms and Risk group is responsible for combating fraud and abuse for Internet Software and Services at Apple. The FEAR engineering team is tasked with building mission-critical, robust and scalable distributed systems that can keep pace with data across a number of high-profile and large-volume Apple cloud properties. We are building the next-generation libraries, platforms and data pipelines to empower our data scientists to rapidly build and deploy complex models to production.

Key Qualifications
MS or BS in Computer Science or related field
3 or more years experience building large-scale distributed systems
Skilled in Scala or Java
Working knowledge with at least two of: Spark, MapReduce, HDFS, Cassandra, Kafka

Description
We engineer high-quality, scalable and resilient distributed systems that power data exploration, model building and production models. Our core systems need to work seamlessly across different execution contexts (real-time, near real-time and batch) and support diverse big data stacks such as Spark, Hadoop, Kafka, Cassandra and beyond.

We work at a unique intersection of huge data volumes and adversaries that are continuously adapting, which means we are operating at and beyond the limits of conventional big data systems. On our team you can be sure that every commit you make will come with the satisfaction that you are helping protect and improve the user experience of hundreds of millions of users.

This role requires in-depth knowledge with cutting-edge big data technologies. Tuning, troubleshooting and scaling these big data technologies are a key part of our work, where having a curiosity with the internal workings of these systems is key to being successful. This is a hard-core software engineering role, where a large part of an engineer's time is spent writing code with the remainder being spent on designing and architecting systems, tuning and debugging big data systems, supporting production systems and supporting our data scientists.

Education
BS in Math, Computer Science, or equivalent experience"
Data Engineer,"ABC Financial Services, Inc.","ABC's Software Development team is growing and we are looking for a Data Engineer with strong production database operation support experience for a Greenfield Development project. As a Data Engineer, you'll be working on challenging data problems, managing databases, helping in architectures design, conducting proof of concepts, and supporting new feature development that is highly scalable, maintainable, secure, reportable, sustainable, reliable, and fits in our continuous integration/deployment infrastructure. The Database Engineer should be open minded and curious in learning and adopting new solutions to solve the right problems. Our team enjoys participating in design sessions in front of a white board, implementing a highly performant and scalable infrastructure, and solving problems for customers. We have a collaborative, inclusive, passionate, high energy work environment where everyone's opinion and ideas are valued.

Data Engineer at ABC:
Understand the needs of external clients, ABC's strategic business objectives and vision, and data, and reporting needs from all internal and external clients to define data architectures that satisfy those needs.
Collaborate with data architects, system architects, software architects, design analysts, and others to understand business or industry requirements
Develop highly reliable, performant and scalable database architecture design in micro service ecosystem ensuring there will be no data corruption and race condition issues.
Develop tested and proven monitoring and backup and recovery plan.
Develop ETL data pipeline architecture (Stream and Batch) to ingest data from external sources
Managing, monitoring and ensuring the databases is up in optimal state and in compliance with customer SLA agreement.
Provide on call support, help troubleshoot and resolve any database issues in a timely manner.
Conduct post mortem studies and help prevent the same issues from occurring
Help Architectural team to research, mitigate risks and provide quick POC turnaround
Develop and communicate new technology standards and best practices as appropriate.
Solve complex database software/hardware issues.
Develop and evaluate database infrastructure performance criteria and measurement methods.
Study and analyze the capacity needs for database infrastructure including CPU, RAM, and storage.
Automate life-cycle management of database schemas, clusters, queuing, and much more.
Adhere to PCI/SOC and other security requirements in accordance with standards, policies and procedures.
Contribute as part of a team of software engineers building the next generation software solutions.
Design, build and manage databases for our high performance infrastructure.

Position Requirements
What we look for in a Data Engineer:
Flexibility- ABC is a client centric organization requiring a great deal of flexibility
Professional Development is offered and expected for all Software Development positions. Initiative to keep your manager informed of your desired development goals is key.
While we have multiple teams within Software Development we are one team and all communication and actions must represent that.
Create and maintain goals that fuel you to complete 2 hours of client time per month. Maintaining our client centric focus and user experience is vital in this role.
At ABC, our Software Development Organization has a multi-disciplined team that you will be interacting with on a daily basis. This includes Product Owners, Business Analysts, Quality Assurance Analysts, as well as your Manager.
Participate in Daily Status update
Peer and stakeholder reviews are held annually and require all to participate in a timely manner
To support ABCs client centric environment, you may be required to travel on site to visit a club for up to 5 days on an annual or bi-annual basis.
All testers are required to enter all test plans into ABCs TCM for all new development and enhancements
Perform other duties as assigned by manager or management
Regular and reliable attendance required
REQUIREMENTS:
Degree in Computer Engineering or Computer Science or 3-5 years equivalent experience
7+ years experience as a Production Database Administrator with strong engineering mindset.
7+ years experience with a relational database such as Oracle, MySQL or PostgreSQL
7+ years experience with architecting and implementing complex ETL solutions
5+ years experience in cloud computing (i.e. Amazon Web Services, OpenStack)
3+ years experience in Kafka and streaming technologies
3+ years experience in NoSQL, MPP or Big Data Database solutions
Proficient any of the two of the languages (Java, Ruby, Python, Unix scripting)
Strong understanding and proficiency in Linux
Strong understanding of Architecture design process, methodology, and high level of understanding of business environment, strategy and needs.
High-level understanding of the theories, methodologies and principals underlying technical analysis, design and implementation of software applications, systems, and/or databases.
Proven expert analytical and design skills at multi-product/multi-environment levels as well as an in-depth experience in research and analysis, project planning and implementation.
Familiarity with programmatic access to the database (e.g. JDBC, Hibernate)
Experience scaling the capacity of a database using techniques like caching or sharding
Works well in a fast pace agile environment
Excellent communication skills
Ability to learn and adapt in a rapidly changing environment
In-depth knowledge of the entire development process, including specification, documentation and quality assurance.
NICE TO HAVE:
Knowledge and experience in Microservice Architecture
PCI and HIPPAA compliance knowledge
Understanding of Linux containers (LXC) and similar technologies (Docker, Kubernetes, etc.)
Understanding in modern configuration management tools (Chef, Ansible, Fabric, etc.)
A public github account so we can better understand your thought process and problem solving approach

Relocation Assistance
N/A - Remote

Travel Requirements

EOE Statement
We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.

This position is currently accepting applications."
DATA ENGINEER,NIKE INC,"If youre ready to innovate and become part of our Enterprise Data organization, come join us now! You will be part of an organization that is revolutionizing Nike technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately enable Nike on its journey to 2020 and beyond. Your Role on the Team As a Data Engineer within the North America Market Place Analytics team, you will be a key member of a growing and passionate group focused on collaborating across business and technology resources to drive forward key programs and projects building enterprise data & analytics capabilities across Nike. Primary Responsibilities:  Good understanding and application of modern data processing technology stacks. For example, Spark, Hadoop ecosystem technologies, and others  Design and build product features in collaboration with business and IT  Design reusable components, frameworks, libraries like User Defined Functions  Build continuous integration and test-driven development environment  Performance/scalability tuning, algorithms and computational complexity  Develop architecture and design patterns to process and store high volume data sets  Participate in an Agile / Scrum methodology to deliver high - quality software releases every 2 weeks through Sprints  Troubleshoot production support issues post - deployment and come up with solutions as required
A Bachelor's degree in Business, Information Technology or related field  2+ years experience in a professional organization collaborating across multiple functions  Familiarity with Agile project delivery methods  Experience with AWS components and services (E.G. EMR, S3, and Lambda)  Experience with Jenkins, Bitbucket/GitHub and scheduling tools like Airflow  Strong Java programming, Python, shell scripting and SQL  Good understanding of file formats including JSON, Parquet, Avro, and others  Experience with RDBMS like Oracle  Experience with data warehousing, dimensional modeling and ETL development  Demonstrable ability to quickly learn new tools and technologies  Machine learning frameworks & statistical analysis with Python, R or similar  Exceptional interpersonal and communication skills (written and verbal)  Passion for data with demonstrated ability to use data to tell a story and influence decision making  Detail oriented with strong information seeking skills Competencies:  Effective Communicator  Broad Business Process and Systems Understanding  Analytical and Focused  Strategic Thinking and Tactical Execution  Continuous Learner"
Data Engineer,"Tensyr, Inc.","The Data Engineering team is responsible for data quality, analysis and creation of intelligent models for autonomous systems.

As a Data Engineer you will:
Work with large, complex real time data sets from autonomous vehicles. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, from various data acquisition systems on the car.
Prototype and build data analysis pipelines iteratively to provide insights on data from various sensors
Build and backtest models for autonomous systems data
Experience with the following is highly valuable but not required. Interest and eagerness to figure out how things really work (or not!) is more important.

Masters/PhD in Computer Science, or related hard science (physics, biology, statistics) field preferred but not required.
Experience with statistical software (e.g., R, Julia, MATLAB, pandas), database languages (e.g., SQL) and data science environments like Tensorflow or R/Spark.
4 years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Analytical engagements outside class work while at school can be included.
Applied experience with machine learning on large datasets.
Experience with a scripting language, such as Python, Ruby, etc"
Data Engineer,Amazon.com,"Amazon delights millions of customers around the world. Meet the behind the scenes team that enables our Human Resource and Operations Leaders to make informed decisions. The Amazon PeopleInsight team builds reporting and analytics tools for our teams that fulfill customer promise every day. Whether it is Fulfillment Center team that delivers your Prime order in two days, our Amazon Locker team that lets you pick up your package anytime that is convenient for you, our Prime Now team getting you lunch in under an hour, or one of many more, the PeopleInsight group is there providing people metrics along the employee lifecycle for our global operations businesses. In addition to standard reporting, we leverage predictive analytics to help our leaders focus their efforts in ways that will engage, retain and grow their associates.
We are now recruiting for an exceptional Data Engineer, Global Ops HR

The ideal candidate will be:
 A Well-Rounded Athlete Like a true athlete, you understand that we succeed or fail as a team. You are always ready to step up beyond your core responsibilities and go the extra mile for the project and your team. You nimbly overcome barriers to deliver the best products more quickly than expected.
 A Perpetual Student  You seek knowledge and insight. You challenge yourself to turn moments into masters classes. Whether closing a gap, developing a new skill, or staying ahead of your industry, you revel in the joy of learning and growing.
 A Skilled Communicator  You excel when interacting with business and technical partners whether you are chatting, sending a written message, or conducting a presentation.
 A Trusted Advisor  You work closely with stakeholders to define key business needs and deliver on commitments. You enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format.
 An Inventor at Heart  You innovate on behalf of your customer by proactively implementing improvements, enhancements, and customizations. Your customers marvel at your creative solutions to challenges they had not yet identified.
 A Fearless Explorer  You are drawn to take on the hardest problems, navigate ambiguity, and battle skepticism. You never settle, even in the face of overwhelming obstacles.
Roles and Responsibilities
In this role, you will lead the design of one or more product components serving the historical reporting, real-time reporting and predictive analytics needs of the Worldwide Operations HR org. You are the ideal candidate for this role if you are well-versed in multiple DW, reporting and visualization platforms. You will have hands on experience with fast-growing and evolving datasets of petabyte scale. You will understand the challenges of scaling analytical platforms globally, keeping the data security and regulations in mind. You build scalable systems and solutions. You are a team player, skilled at driving consensus through a data-driven approach working with peer engineers and business partners. You are eager to learn the latest technologies and know when to apply them.

Basic Qualifications Basic Qualifications
  Bachelors degree in Computer Science, Engineering, Mathematics, or a related field or 5+ years industry experience
 Demonstrated strength in data modeling, ETL development, and data warehousing.
 Comfort with advanced level SQL
 Hands on experience with a variety of DW technologies such as Oracle, Redshift, PostgreSQL
 Excellent SQL query performance tuning skills
 Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc.)
 Proven ability to contribute to data engineering best practices in a team of engineers
 Ability to understand business requirements, convert them into technical solutions and deliver software incrementally
 Proven ability to build and support components of a large-scale data solutions serving a global customer base

Preferred Qualifications Preferred Qualifications
 Experience building data products incrementally and integrating and managing datasets from multiple sources
 Hands on experience with AWS technologies such as Redshift, S3, EC2, etc.
 Hands-on experience with Linux/UNIX based systems
 Proven track record of building real-time reporting and analytics solutions

Amazon is an Equal Opportunity-Affirmative Action Employer  Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
