job_title,company_name,summary
Data Scientist,Apple,"Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and theres no telling what you could accomplish.

Were looking for talented data scientists, machine learning scientists, and strong engineerings (at all levels of seniority) interested in building products and initiatives from the ground up. This is a brand new team driving data efforts across the iCloud org.

In this role, youll implement novel machine learning algorithms, drive data science analysis for decision making, and build efforts through to production at massive scale. These systems help us understand and improve Apples user experience, and are an important part of our strategic focus optimizing user experience and engagement with personal iCloud accounts. Youll work in a small and dynamic team, building new functionality and collaborating across groups. Youll also participate in designing systems, algorithm development, and optimization efforts to ship big impact.

This position requires a broad set of software engineering skills, with particular focus on strong data-driven thinking including experience building and deploying machine learning algorithms, optimization efforts, and/or data science driven systems. You should have experience working with massive datasets and shipping production scale systems.
Key Qualifications
Satisfy one of: (a) PhD in Machine Learning, Statistics, Optimization or related field, with experience building production systems, or (b) MS in CS with 4+ years of experience in working with large data-driven projects, or (c) BS in CS with 6+ years of experience in the industry with at least 3 years in data science / machine learning.
Proven track record delivering production software.
Deep fluency in Java, C++, or another production language.
Experience with Spark, Hadoop, MPI, or other distributed frameworks
Solid mathematical knowledge; understanding of machine learning, statistics.
Strong data-driven thinking.
Description
Develop and implement new machine learning algorithms and data science systems.

Produce high quality code with excellent reliability and scalability.

Explore novel architectural solutions and communicate ideas clearly.

Collaborate in cross-functional teams to prototype new concepts and deliver end-to-end systems.

Technical leadership experience a plus.

Education
B.S. in Computer Science with 6+ years experience

M.S. in Computer Science with 4+ years experience

Ph.D. in CS, industry experience a plus"
Junior Data Scientist,The World Bank,"WORLD BANK GROUP CONTEXT

Development data  data and statistics that improve our knowledge of development in all its forms  is at the heart of the work of the World Bank Group, in operations, in advisory work, and in research. The mission of the Development Data Group (DECDG), is to put data to work for development. DECDG aims to achieve this by improving the quality, accessibility and use of development data, both for client countries and for staff, through technical expertise, partnership, and innovation.

DECDG provides technical expertise and helps mobilize resources for clients; it provides global public goods, including methods, standards, and tools for data work, and statistical indicators and datasets; and it delivers corporate services, supporting the Banks Data Council, the internal use and management of development data, and the provision of specialized knowledge to other Bank teams. It works closely with internal and external
partners, and provides the Banks interface to the international statistical and development data communities.

POSITION CONTEXT
DECDG houses the World Banks main Data Team, including the Secretariat of the Development Data Council (DDC), a data governance body that coordinates the World Bank Groups approach to data, in support of the objectives of eradicating extreme poverty and promoting shared prosperity.

This position is in the Data Management and Services team of DECDG. This team manages various high quality data outputs, including the World Development Indicators (WDI) database, sub-national databases, and the World Banks new data catalog (http://datacatalog.worldbank.org)  the institutional hub where Banks data assets are stored and shared with both internal and external users. The team also manages business processes and data quality procedures relating to time series data collection and dissemination, and a portfolio of key data management and dissemination platforms. The team is responsible for http://data.worldbank.org, the most visited on-line knowledge resource of the World Bank Group.

The team is currently streamlining the management and dissemination of the WDI database. This database is the longest running and best known statistical product, first published in 1978 with the World Development Report and now the most widely accessed knowledge product of the Bank. The standards and protocols developed for the new design of WDI will also benefit the work the team does with units across the Bank to curate and publish specialized data, indicator design, the curation, management and dissemination of specialized data, data visualization, and data-driven communications. As part of the recently launched new data catalog, the team is also helping other Bank units with the dissemination of time-series databases.

Note: If the selected candidate is a current Bank Group staff member with a Regular or Open-Ended appointment, s/he will retain his/her Regular or Open-Ended appointment. All others will be offered a 3 year term appointment.

Duties and Accountabilities:
From automating data scraping, importing and validation tasks, to running statistical analyses and creating web-based visualizations to tell clear stories and let people explore data, were looking for a creative technologist with a well-rounded skill set in using modern tools and approaches for doing great things with data. The selected candidate will be a technical expert and specific duties will include:

Data Wrangling, Modelling & Visualization
Improving and further automating the processes for compiling and managing global statistical data series, for both internal and external use.
Creating, documenting, and maintaining tools (Python, R) that simplify current data wrangling, statistical modeling and visualization tasks.
Developing and improving communications tools and methods for explaining development concepts and outcomes, utilizing modern data visualization techniques.
Solving any routine data-related problem you encounter using modern programming languages, libraries and tools.
Data Management
Assist other Bank units in the dissemination of datasets using standard best practices.
Establishing protocols for effective indicator design, version management, and data integration techniques across different data types.
Evaluating, documenting and automating curation processes such as data capture and ingestion, transformation, quality control and dissemination.
Special Projects & Research
Evaluating new data sources and methods for inclusion in the Banks databases.
Participating in smaller one-off research projects, including monitoring of overall project progress.
Selection Criteria:
Formal Requirements
Bachelor's degree in computer science, statistics, mathematics, economics or equivalent with a strong quantitative and computational background.

At least four years of relevant professional experience (or 2 years of experience for those with Masters).

Technical Requirements

Technical experience in various aspects of data science - a creative problem solver with a strong skills in design and problem formulation; data curation; data acquisition, cleaning and management; data interpretation, analysis; and the presentation and communication of results in an engaging and reproducible manner.

Excellent working knowledge of modern statistics, scripting and programming languages such as STATA, R & Python and associated software libraries. Excellent working knowledge of SQL, database systems, and the management of data in enterprise environments. Excellent working knowledge of data visualization tools such as D3 and Tableau.

Technical knowledge of one or more domains of development data such as economic statistics, demographic data, gender and social statistics, or other topics would be an advantage.

Technical knowledge of one or more distinct data sources and associated methods such as household surveys, administrative systems, geographic information systems, satellite imagery and other sensor data, big data, would be an advantage.

Experience and knowledge of methods of data collection, analysis, and dissemination, especially as they relate to economic and social trends. Expertise in time-series data management would be an advantage.

Soft Skills

Analytical skills: ability to think strategically and rapidly analyze, interpret and integrate data information from varied sources into clear conclusions and recommendations.
Communication skills: strong writing and data presentation skills, including data visualization.
Ability to produce quality work with a high degree of accuracy and attention to detail.
Self-starter: ability to take the initiative and work independently.
Strong team work orientation, good interpersonal skills, and a proven ability to work effectively with a range of clients and colleagues.
Enthusiasm for, and commitment to, development work.
Competencies
Communication: communicate to effectively share and exchange information. Able to listen actively, obtain necessary input, share ideas, speak persuasively, and convey information in a clear, objective, and concise manner
Collaboration within teams and across boundaries: collaborate and work with others across organizational boundaries, both internally and externally, in order to achieve the best results for clients; maintain a WBG corporate mindset above an individual or team perspective
Leadership and innovation: take initiative, and be persistent in their drive for results; seek opportunities to improve and find innovative solutions to problems; inspire and encourage others to have a positive attitude and impact; be able to adapt to changing circumstances, and be bold to increase the Banks Groups effectiveness.
Smart decision making: balance the need for making empirically-based sound decisions with a sense of urgency by making quick, timely, and relevant decisions; be good problem solvers.
Client understanding and advising: strive to add value to clients in the business; understand the critical forces that shape clients needs.
Other Competencies:
Results for clients: address the needs and challenges of clients; hold themselves accountable and take personal ownership for identifying and managing risks and delivering evidence-based results.
Knowledge creation, application, and sharing: share their expertise; create and contribute to the WBGs body of knowledge; and efficiently reflect and draw on lessons from colleagues; expand their professional networks in their areas of expertise.
Broad business thinking: solicit information on WBG/VPU direction, goals and industry competitive environment to determine how own area can add value to the organization and to clients. Makes decisions and recommendations clearly linked to the organization's strategy and financial goals.
Project management: plans, organizes, monitors and controls projects and tasks using appropriate tools, methodologies and processes.
Analytical thinking: able to breakdown raw information and undefined problems into specific, workable components that in-turn clearly identify the issues at hand. Make logical conclusions, anticipate obstacles and consider different approaches that are relevant to the decision-making process.
Policies and procedure: understand and apply relevant policies and procedures in executing responsibilities.
Risks and controls: assess risks and maintain an effective and efficient internal control environment. Able to identify and assess risks, including identification of mitigating controls.
Information technology and systems: utilize information technology to support business operations."
Data Scientist,Crossover,"Are you eager to join a network of the most talented remote workers in the world? Do you like building state of the art, scalable, and self-learning systems? Do you wish your current role had the excitement and energy that comes from working in young, exceptionally fast growing tech companies?

The Company: Crossover is redefining the way people work. A future where all high-skill jobs go to the cloud and big-data is used to help individuals and teams become more and more productive. Brick and mortar offices are history. The future of our workforce is global and will be built from teams collaborating from every corner of the world. We have embarked on an expedition to find and engage with that talent and are now in over 108 different countries. Crossover has developed a unique method of finding, curating, and managing cloud talent. Our platform connects customers to the worlds best people for both technical and non-technical jobs. But we dont just find the best, we also provide the tools, training, and relationship building support to ensure success for long term growth.

Job Description: We are seeking a data scientist with an interest in large data sets (especially English language text), and a willingness to experiment with custom algorithms and ideas. When ideas demonstrate value, the data scientist leads the implementation of projects to bring this value to life. We specialize in technologies for world-class document classification and the discovery of structures in unstructured text. We focus on a wide and rapidly growing set of business domains.
Main focus on building state of the art, scalable, and self-learning systems for information extraction from documents.

Ability to train and tune a variety of machine learning models.

Build both supervised and semi-supervised models within un-structured and semi-structured environments.

Feature engineering using domain knowledge

Perform data and error analysis in order to improve models and understand their shortcomings.

Experiment and develop machine learning algorithms for tasks including text classification, clustering, embedding, sequence labeling, seq2seq learning, information extraction and online semi-supervised learning

Deploy machine learning models used in large scale systems

Take ownership of the whole end-to-end machine learning systems - from data processing, training, optimization to real-time monitoring and maintenance

Build high-leverage tools for data collection, model training/testing, feature extraction, and more

Required Skills and Experience:
Needs to be hands on with experiments and execution.

Experience and interest in many of the following areas is desired:

Applied statistics and probability

Machine learning algorithms and processes

Feature engineering and refinement

Investigation of public data sources

Systems for large scale, automated data collection and analysis

Application usage analysis

Predictive analytics

Tools for structured data storage and retrieval

Data storage and analysis tools: e.g. SQL, Solr, Spark

Experience with Natural Language Processing methods is desired

Meaningful experience analyzing English language text-based data sets.

Experience executing document clustering in both supervised and unsupervised scenarios.

Advanced degree in one of the following; Computer Science, AI, Deep Learning, Data Science or other programming/data focused field.

5-10 years of experience with complex, self-directed data analysis.

Total compensation : $50 per hour ($100K yearly)

Location: Global (remote)

40 productive hours per week

Were one of the few legitimate companies offering high-paying jobs that are 100% remote, work from home. You never have to fight traffic to the office again and you have the freedom to choose when and where you put in your 40 hours to be most effective each week.

To qualify, please provide a resume/CV demonstrating the required experience and skills. From there, to help us find the top 1% of talent, there will be a series of interviews and online examinations. We realize these are challenging and can require a decent amount of time so we thank you in advance for your efforts."
Junior Data Scientist- Statistician,McAfee,"Job Description

The Test & Learn Marketing Team within our Consumer Products org. is being built from scratch with a laser focus on designing and building smart web-based business experiments and rapid test iterations to drive business results for a direct to consumer marketing organization which supports 375 million customers world-wide. With a focus on our OEM, Retail and Direct Customers, this is an opportunity to work with creative business people who are change agents for our business practices and methodologies and significantly impacting top line revenue.

The Junior Data Scientist- Statistician role is centered around using quantitative skills, plus business judgement to convert analytic findings into customer insights that power marketing strategies and programs that enable McAfee to accomplish business objectives.

For all positions within the exciting new Test & Learn Marketing Team we seek high energy, fail-fast / learn-fast, curious, collaborative, creative and selfless people.

KEY RESPONSIBILITIES:
The Junior Statistician should have first-hand experience of digital and traditional marketing testing, including test design.
The individual should have deep statistical knowledge, direct experience with A/B testing, multi-variance tests, and logistic regressions.
The Junior Statistician should possess the ability to build bespoke models.
The ideal candidate will thrive in a fast-paced environment, relishes working with large transactional volumes and big data, enjoys the challenge of highly complex business issues and is passionate about data and analytics.

REQUIRED EXPERIENCE/BACKGROUND:
BS/BA degree in finance, accounting, business administration, or other similar program; or equivalent.
2-3 years professional experience required.
Familiarity with digital and traditional marketing testing including test design.
Proficiency with Excel, SQL, R
Experience with Python, Hadoop, PowerBI or Google Analytics strongly preferred.

McAfee is the world's largest dedicated security technology company. We are relentlessly focused on constantly finding new ways to keep our customers safe. Share your talents with us in the dynamic security industry, and experience the meaningful, interesting work that is waiting for you!

McAfee is an Equal Employment Opportunity employer. We celebrate diversity!

Qualifications

Do Not Use"
Data Scientist,Wiser,"About us :
Wiser is the leading provider of actionable data for better decisions. Wiser collects and analyzes online and in-store data with unmatched speed, scale and accuracy. The Wiser platform then blends these insights with advanced workflow software to drive business value for brands and retailers. Using a unique combination of data science and human validation, Wiser offers integrated solutions for every aspect of retail, all in one place

Job Description :
Are you excited about data? Are you interested in building next generation data science technology built on top of massive amounts of structured and unstructured data? If so this is the right opportunity for you. We are a fast-paced, dynamic (and fun) organization with many unique and interesting technology challenges. Youll get to help build our data science stack, design our architecture, fix things when they break and do it with smart, down-to-earth people that enjoy having fun while working together.

Responsibilities :
Expand machine learning based intelligence capability of Wiser Data Platform.

Partner closely with other data scientists on the team to develop algorithms and drive key product initiatives.

Work with Engineering and Product Management to identify data science use-cases.

Present your research and insights to all levels of the company as well as academia.

Maintain regular and reliable work attendance

Skills and Qualifications :
PhD in Statistics or other related quantitative field. Masters with exceptional background may also be considered.

Knowledge of machine learning and data mining techniques in one or more areas of statistical modeling, regression analysis, time-series prediction, NLP, computer vision.

Ability to develop fast prototypes by applying data science algorithms to problems in new domains.

Deep familiarity and experience with GAM, ARIMA, Exponential Smoothing, LSTM, Tree-based model.

Deep Learning and other related topics.

Strong coding skills in Python.

Experience with dynamic pricing strategy or time-series data is a strong plus.

Familiarity with Spark a strong plus

Other Characteristics:
Strong communication skills and ability to work effectively independently and in teams (local and distributed)

Intellectually curious, with a passion for continuous learning and growing professionally

Ability to multi-task, prioritize, work well in an interrupt driven environment, show initiative and respond quickly in a fast paced environment.

Possess a strong work ethic and proactive approach to problem solving

Other Duties - Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

Travel - Occasionally as needed.

Work Environment - This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Physical Demands - The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

The employee is required to sit for prolonged periods of time; balance; and stoop, kneel, crouch or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus.

The employee is required to operate essential office equipment, such as computer/laptop, phone, printer, copier, keyboard, mouse, and other office equipment on a regular basis.

EEO Statement - Wiser Solutions, Inc. is an Equal Opportunity Employer and prohibits Discrimination, Harassment, and Retaliation of any kind. Wiser Solutions, Inc. is committed to the principle of equal employment opportunity for all employees and applicants, providing a work environment free of discrimination, harassment, and retaliation. All employment decisions at Wiser Solutions, Inc. are based on business needs, job requirements, and individual qualifications, without regard to race, color, religion, sex, national origin, family or parental status, disability, genetics, age, sexual orientation, veteran status, or any other status protected by the state, federal, or local law. Wiser Solutions, Inc. will not tolerate discrimination, harassment, or retaliation based on any of these characteristics.

EEO is the Law. Click here to view your rights.

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."
Data Scientist,Intel,"Job Description

Data Scientists influence how Intel does business, one data-driven decision at a time! In this role, you may assist business units with casual inferences and observations with finding patterns, relationships in data, develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data into intelligence, solve a variety of business problems and enable business strategy, inform, influence, support, and execute business decisions and product design, analyze and explore data to help discover hidden business insights in the data. It may also involve development of complex queries using stored procedures and similar methods, as well as design, develop, and implement high performance and easy-to-use data visualization functionality, and automation scripts.

Ours is a culture of innovation and diversity, where everyone is given a place in the conversation based on the merits of their technical argument. If you are looking for a place to make a real impact and begin a fruitful career, this is the place for you.

An ideal candidate would exhibit behavioral traits that indicate:

Strong analytical mind with problem solving skills.
Ability to work independently and manage stakeholders.
Ability to deal with ambiguity in defining activities and direction.
Passion for the job.
High motivation with a strong work ethic.
Good planning skills.
Excellent written and verbal communication skills.
Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Relevant experience can be obtained through school work, classes and project work, internships, military training, and/or work experience. This is an entry level position and will be compensated accordingly.

Minimum Requirements:
Must have a PHD's in Computer Science, Mathematics, Statistics, Operations Research or related field.
Experience with:
Design Of Experiments and/or Principal Component Analysis.
Build data ingestion libraries (ms sql, excel, json and/or SAP HANA)
Scikit-learn, tensor flow and/or spark ml.
Program languages such as Python, Perl, Java, R and/or scala and/or C++
Preferred Qualifications:
1+years of experience :
Machine learning and statistical approaches, and experience applying them.
Deep learning, machine learning and/or big data.
Building Visualization tier for machine learning results.
Inside this Business Group

As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moores Law to bring smart, connected devices to every person on Earth
Posting Statement. Intel prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status."
AI/ML Scientist,General Motors,"PLEASE ONLY APPLY IF YOU DO NOT NEED SPONSORSHIP TO WORK IN THE UNITED STATES NOW OR IN THE FUTURE. WE ARE UNABLE TO CONSIDER CANDIDATES WHO REQUIRE SPONSORSHIP

AI / Machine Learning Scientist
Location : Warren, Mi or Austin, Tx.
General Motors (GM) is seeking well-qualified Artificial Intelligence and Machine Learning Scientists (AI/ML Scientists) in the IT Global Data, AI, and Analytics Services organization (GDAAS). AI/ML Scientists in GDAAS are responsible for supporting the mission and business of GM by turning enterprise data into actionable insights in support of GM's mission of Zero Crashes, Zero Emissions, and Zero Congestion. Additionally, AI/ML Scientists assist engineers, buyers, strategists, and other business leaders build high-quality and transformative products and experiences and incorporate data-driven discovery into business processes.
Specific to this job posting, the team is seeking individuals with a background in the use of AI and Machine Learning techniques in transportation and mobility planning and services. We are interested in applicants with a passion for understanding how technology and civic planning interplay under a variety of alternative futures. Successful applicants will have experience in using machine learning in production enterprise-level decision support applications or consumer-facing environments.

Key Responsibilities Include:
Developing high quality modeling code capable of performing in low-latency environments * Supporting developers in bringing algorithms into production through paired programming * Working with UI/UX leads to ensure successful hand-offs between design features and technical execution * Communicating needs and goals to a variety of stakeholders * Listening, exploring, and co-developing new opportunities * Driving a culture of data literacy * Developing and implementing novel intellectual property
Successful candidates must possess an advanced, technical degree in a field relevant to AI and Machine Learning - Implementation of AI and ML techniques for forecasting complex human behaviors is strongly preferred
Strong familiarity with at least one and preferably with multiple travel demand modeling software platforms - GPU programming, NVidia CUDA
Theano, Caffe, CNTK, or TensorFlow frameworks"
Data Scientist,DELL,"Why Work at Dell?
Endless challenges and rewards. Opportunities on six continents. A team of colleagues fueled by collaboration. All this, and a company deeply committed to integrity and responsibility.
Come work with the industry leader in enterprise storage to help transform the way customers manage their data centers. As part of Dell EMC, the successful candidate will become part of a global engineering team delivering CloudIQ, a cloud-native solution that provides proactive health, monitoring and predictive analytics for Dell EMC Storage. CloudIQ is built on Pivotal Cloud Foundry leveraging state of the art technologies and a continuous delivery model. The Data Scientist will be responsible for working with large, complex data sets, creating and applying advanced statistical models to drive AI/ML, derive valuable insights, predict storage behavior and deliver solutions to enable our customer to avoid risk and reduce TCO. Bring your passion and dedication to work with an amazing team to quickly turn ideas into great product.

Role Responsibilities
Provide thought leadership to deliver transformative AIOps solutions on our SaaS platform
Work with customers and product experts to blaze a trail in autonomous data center management
Solve customers' complex IT problems using innovative analytical processes and techniques

Requirements
Ability to effectively work in a team environment
Strong problem solving skills (troubleshooting software problems)
Knowledge and experience with unsupervised and semi-supervised machine learning
Experience with many of the ML algorithms: e.g., Clustering, Regularization, Bayesian inference, Decision Tree, etc
Excellent written & verbal communication skills
Experience with DSLs: e.g., R, MATLAB, TensorFlow
Master's degree or equivalent in statistics, mathematics, computer science, operations research, or a related quantitative field

Preferences
Experience with scripting languages: e.g., Python, C/C++, Perl
Experience with SQL, NoSQL Database and coding
Experience with big data analytics technology such as Hadoop, Spark and related modules preferable
Experience with large data sets and distributed computing is a plus
High level understanding of systems modeling and product lifecycle is a plus

""DCAM1""
""LIPriority"""
Data Scientist,Pfizer Inc.,"As a member of the Pfizer Analytics Lab team, a component of Pfizers Business Technology organization, the Data Scientist will join a group dedicated to leveraging data and advanced analytics to create a healthier world. Specifically, this group is focused on developing a set of capabilities designed to enable highly efficient exploration, experimentation, and ultimately rapid hypothesis generation based on internal, public, and commercially available datasets.
Day-to-day, the Data Scientist will actively support ad-hoc analysis efforts by groups across Pfizer largely focused on identifying, developing, and delivering life-changing therapies to patients around the world. Further, this role will be a key contributor to the teams on-going analytic product development activities; an essential component to creating a scalable analytics capability for Pfizer.
In addition, as technologists within Pfizers analytic eco-system; this role will also participate in the assessment of new technologies as well as identifying next-generation solution architectures.
Roles & Responsibilities
Work closely with teams across Pfizer to maximize the use of data in answering key questions related to: acceleration of drug discovery efforts, identification of drug repurposing opportunities, optimization of clinical trial activities, improving patient access to Pfizer therapies through a better understanding of outcomes & patterns of care, and maximizing the value of our interactions with patients, healthcare providers, payers, and regulatory agencies.
Co-Develop efficient analytic pipelines that include components related to data acquisition, exploratory analysis, feature engineering, modeling, and interactive storytelling.
Produce actionable data presentations and visualizations for decision makers throughout the organization
Co-develop analytic products & other re-usable components that will serve as the foundation for a scalable approach for Pfizers analytic maturation
Partner with other Business Technology teams to define and execute technology POCs using innovative technologies to advance Pfizers analytic capabilities
Partner with other Data Science oriented groups within Pfizer to develop common tools & approaches through participation in formal/informal community of practice activities
Directly engage with key business stake-holders (Senior Manager level)
Shared-ownership of advancing team's capabilities in at least one technical area
QUALIFICATIONS
1 years as a data scientist
1 years working with different types of data sets  structured, semi-structured and unstructured data
Degree in Computer Science, Informatics, life sciences, physics, applied mathematics, statistics or related field
Ability to create technical examples, prototypes, and demonstrations based on rapidly changing data sets
Ability to thrive in a fast-paced multi-disciplinary environment; with the ability to effectively communicate with a diverse audience
Experience with statistical modeling; specifically supervised and unsupervised Machine Learning techniques
Experience with algorithms related to Natural Language Processing and network analysis
Experience with hyperparameter optimization, model selection and validation.
Good proficiency with SQL, Python, Scala, or JAVA as well as formal statistical tools R, SAS, etc.
Some experience creating effective visualizations based on large datasets (e.g. Tableau, Spotfire, Shiny)
Some exposure to MPP RDBMS (e.g. Teradata, Netezza, Exadata), Redshift, Hadoop, Spark, and related tools focused on the distributed processing of large datasets
Good written and verbal communication skills
EEO & Employment Eligibility
Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.
Sunshine Act
Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care providers name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.
Other Job Details:
Last Date to Apply for Job: 1/19/2018
Additional Location Information: NYC
Eligible for Employee Referral Bonus: Yes
Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates."
Data Scientist,Microsoft,"Key Tasks and Responsibilities:
Work as part of the data science team to develop cutting edge methodologies in People Analytics. The potential scope of this role is very broad and includes:
Direct services work with customers and the Customer Solutions team manipulating data and helping develop methodologies to model and predict business outcomes.
Working with the Product team to prototype, develop and refine data-driven product metrics and features.
Helping to govern and manage the enormous and complex pipeline of data that we use in our product and decision making.
Helping to develop the skills of the broader product and services team as data-savvy leaders who ask great questions and make informed decisions.
Basic Qualifications:
2+ years of professional data science experience or combination of work and postgraduate education in data science.
Preferred Qualifications:
Experience and proficiency in coding skills relevant for data science, especially Python.
Experience in NoSQL database (e.g. MongoDB) and Relational database (e.g., Oracle, SQLServer or PostgreSQL).
Excellent oral communication skills and be able to interact effectively with development, operations and business teams in Microsoft.
Experience with agile development methodology.
Experience with Hadoop/MapReduce or Spark.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status."
